sequence_id,deployment_id,start_whistle_index,end_whistle_index,length,duration,start_period,end_period,start_game_time,end_game_time,start_period_time,end_period_time,zones_visited,game_state_before,game_state_after,home,away,possession_changes,shots_total,shots_on_net,shots_missed,shots_blocked,passes,oz_entries_controlled,oz_entries_dump,dz_exits_controlled,dz_exits_dump,lpr_recoveries,pressure_events,turnovers,start_zone,end_zone,deployment_strength,deployment_home_zone,deployment_away_zone,deployment_home_team_id,deployment_away_team_id
0,,0,22,22,10.95,1,1,0.0,10.95,0.0,10.95,"['nz', 'dz', 'oz']","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': None, 'away_skaters': None, 'strength': None, 'period': 1, 'time_remaining_period': 1200.0, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 0, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 0, 'turnovers': 0}, 'away': {'goals': 0, 'shot_attempts': 0, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 0, 'turnovers': 0}}}","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': 5, 'away_skaters': 5, 'strength': '5v5', 'period': 1, 'time_remaining_period': 1189.05, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 0, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 0, 'turnovers': 1}, 'away': {'goals': 0, 'shot_attempts': 0, 'entries_c_att': 1, 'entries_c_succ': 1, 'pressure_events': 0, 'turnovers': 2}}}","{'zone_time': {'oz': 2.56666666666667, 'nz': 3.01666666666663, 'dz': 5.366666666666699}, 'possession_time': 4.266666666666629, 'entries': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 0}, 'exits': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 0}, 'shots': {'on': 0, 'missed': 0, 'blocked': 0, 'total': 0}, 'passes': 2, 'lpr_recoveries': 2, 'pressure_events': 0, 'turnovers': 0}","{'zone_time': {'oz': 5.366666666666699, 'nz': 3.01666666666663, 'dz': 2.56666666666667}, 'possession_time': 5.8166666666667, 'entries': {'controlled_attempts': 1, 'controlled_success': 1, 'dump_attempts': 1}, 'exits': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 0}, 'shots': {'on': 0, 'missed': 0, 'blocked': 0, 'total': 0}, 'passes': 3, 'lpr_recoveries': 1, 'pressure_events': 0, 'turnovers': 2}",2,0,0,0,0,5,1,1,0,0,3,0,2,,nz,,,,,
1,0.0,22,248,226,214.100000000003,1,1,12.066666666667,226.16666666667,12.066666666667,226.16666666667,"['nz', 'dz', 'oz']","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': None, 'away_skaters': None, 'strength': None, 'period': 1, 'time_remaining_period': 1187.933333333333, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 0, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 0, 'turnovers': 1}, 'away': {'goals': 0, 'shot_attempts': 0, 'entries_c_att': 1, 'entries_c_succ': 1, 'pressure_events': 0, 'turnovers': 2}}}","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': 5, 'away_skaters': 5, 'strength': '5v5', 'period': 1, 'time_remaining_period': 973.83333333333, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 4, 'entries_c_att': 2, 'entries_c_succ': 1, 'pressure_events': 4, 'turnovers': 1}, 'away': {'goals': 0, 'shot_attempts': 5, 'entries_c_att': 1, 'entries_c_succ': 1, 'pressure_events': 2, 'turnovers': 1}}}","{'zone_time': {'oz': 86.90000000002601, 'nz': 22.866666666654062, 'dz': 104.33333333332294}, 'possession_time': 94.58333333333495, 'entries': {'controlled_attempts': 3, 'controlled_success': 1, 'dump_attempts': 8}, 'exits': {'controlled_attempts': 3, 'controlled_success': 3, 'dump_attempts': 1}, 'shots': {'on': 2, 'missed': 1, 'blocked': 0, 'total': 8}, 'passes': 21, 'lpr_recoveries': 9, 'pressure_events': 9, 'turnovers': 7}","{'zone_time': {'oz': 104.33333333332294, 'nz': 22.866666666654062, 'dz': 86.90000000002601}, 'possession_time': 118.75000000000207, 'entries': {'controlled_attempts': 2, 'controlled_success': 1, 'dump_attempts': 7}, 'exits': {'controlled_attempts': 5, 'controlled_success': 5, 'dump_attempts': 0}, 'shots': {'on': 1, 'missed': 2, 'blocked': 1, 'total': 10}, 'passes': 29, 'lpr_recoveries': 6, 'pressure_events': 10, 'turnovers': 7}",2,18,3,3,1,50,5,15,8,1,15,19,14,,oz,5v5,nz,nz,2.0,17.0
2,1.0,248,487,239,229.8,1,1,227.45,457.25,227.45,457.25,"['oz', 'dz', 'nz']","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': None, 'away_skaters': None, 'strength': None, 'period': 1, 'time_remaining_period': 972.55, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 4, 'entries_c_att': 2, 'entries_c_succ': 1, 'pressure_events': 4, 'turnovers': 1}, 'away': {'goals': 0, 'shot_attempts': 5, 'entries_c_att': 1, 'entries_c_succ': 1, 'pressure_events': 2, 'turnovers': 1}}}","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': 5, 'away_skaters': 5, 'strength': '5v5', 'period': 1, 'time_remaining_period': 742.75, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 3, 'entries_c_att': 1, 'entries_c_succ': 1, 'pressure_events': 5, 'turnovers': 2}, 'away': {'goals': 0, 'shot_attempts': 3, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 1, 'turnovers': 1}}}","{'zone_time': {'oz': 87.73333333334003, 'nz': 24.983333333309872, 'dz': 117.08333333335011}, 'possession_time': 90.8166666666601, 'entries': {'controlled_attempts': 2, 'controlled_success': 1, 'dump_attempts': 6}, 'exits': {'controlled_attempts': 3, 'controlled_success': 3, 'dump_attempts': 0}, 'shots': {'on': 0, 'missed': 0, 'blocked': 0, 'total': 6}, 'passes': 22, 'lpr_recoveries': 5, 'pressure_events': 15, 'turnovers': 6}","{'zone_time': {'oz': 117.08333333335011, 'nz': 24.983333333309872, 'dz': 87.73333333334003}, 'possession_time': 132.9500000000099, 'entries': {'controlled_attempts': 1, 'controlled_success': 0, 'dump_attempts': 10}, 'exits': {'controlled_attempts': 3, 'controlled_success': 3, 'dump_attempts': 2}, 'shots': {'on': 1, 'missed': 1, 'blocked': 2, 'total': 6}, 'passes': 35, 'lpr_recoveries': 7, 'pressure_events': 4, 'turnovers': 7}",2,12,1,1,2,57,3,16,6,2,12,19,13,,nz,5v5,oz,dz,2.0,17.0
3,2.0,487,509,22,9.883333333339976,1,1,459.03333333333,468.91666666667,459.03333333333,468.91666666667,"['nz', 'dz', 'oz']","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': None, 'away_skaters': None, 'strength': None, 'period': 1, 'time_remaining_period': 740.96666666667, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 3, 'entries_c_att': 1, 'entries_c_succ': 1, 'pressure_events': 5, 'turnovers': 2}, 'away': {'goals': 0, 'shot_attempts': 3, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 1, 'turnovers': 1}}}","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': 5, 'away_skaters': 5, 'strength': '5v5', 'period': 1, 'time_remaining_period': 731.0833333333301, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 4, 'entries_c_att': 1, 'entries_c_succ': 1, 'pressure_events': 7, 'turnovers': 1}, 'away': {'goals': 0, 'shot_attempts': 4, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 0, 'turnovers': 1}}}","{'zone_time': {'oz': 0.0, 'nz': 4.199999999999989, 'dz': 5.683333333339988}, 'possession_time': 1.5, 'entries': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 1}, 'exits': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 0}, 'shots': {'on': 0, 'missed': 0, 'blocked': 0, 'total': 1}, 'passes': 1, 'lpr_recoveries': 1, 'pressure_events': 2, 'turnovers': 0}","{'zone_time': {'oz': 5.683333333339988, 'nz': 4.199999999999989, 'dz': 0.0}, 'possession_time': 7.7999999999999545, 'entries': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 1}, 'exits': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 0}, 'shots': {'on': 0, 'missed': 0, 'blocked': 0, 'total': 0}, 'passes': 2, 'lpr_recoveries': 2, 'pressure_events': 0, 'turnovers': 1}",2,1,0,0,0,3,0,2,0,0,3,2,1,,oz,5v5,nz,nz,2.0,17.0
4,3.0,509,531,22,10.050000000000011,1,1,471.06666666667,481.11666666667,471.06666666667,481.11666666667,"['oz', 'dz']","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': None, 'away_skaters': None, 'strength': None, 'period': 1, 'time_remaining_period': 728.93333333333, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 4, 'entries_c_att': 1, 'entries_c_succ': 1, 'pressure_events': 7, 'turnovers': 1}, 'away': {'goals': 0, 'shot_attempts': 4, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 0, 'turnovers': 1}}}","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': 5, 'away_skaters': 5, 'strength': '5v5', 'period': 1, 'time_remaining_period': 718.88333333333, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 7, 'entries_c_att': 1, 'entries_c_succ': 1, 'pressure_events': 10, 'turnovers': 1}, 'away': {'goals': 0, 'shot_attempts': 8, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 0, 'turnovers': 1}}}","{'zone_time': {'oz': 0.0, 'nz': 0.0, 'dz': 10.050000000000011}, 'possession_time': 0.0, 'entries': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 0}, 'exits': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 0}, 'shots': {'on': 0, 'missed': 0, 'blocked': 0, 'total': 4}, 'passes': 0, 'lpr_recoveries': 0, 'pressure_events': 4, 'turnovers': 0}","{'zone_time': {'oz': 10.050000000000011, 'nz': 0.0, 'dz': 0.0}, 'possession_time': 10.03333333334001, 'entries': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 0}, 'exits': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 0}, 'shots': {'on': 0, 'missed': 1, 'blocked': 1, 'total': 4}, 'passes': 4, 'lpr_recoveries': 0, 'pressure_events': 0, 'turnovers': 0}",1,8,0,1,1,4,0,0,0,0,0,4,0,,oz,5v5,dz,oz,2.0,17.0
5,4.0,531,705,174,173.89999999999992,1,1,483.11666666667,657.01666666667,483.11666666667,657.01666666667,"['dz', 'oz', 'nz']","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': None, 'away_skaters': None, 'strength': None, 'period': 1, 'time_remaining_period': 716.88333333333, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 7, 'entries_c_att': 1, 'entries_c_succ': 1, 'pressure_events': 10, 'turnovers': 1}, 'away': {'goals': 0, 'shot_attempts': 8, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 0, 'turnovers': 1}}}","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': 5, 'away_skaters': 5, 'strength': '5v5', 'period': 1, 'time_remaining_period': 542.98333333333, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 10, 'entries_c_att': 1, 'entries_c_succ': 1, 'pressure_events': 0, 'turnovers': 1}, 'away': {'goals': 0, 'shot_attempts': 8, 'entries_c_att': 1, 'entries_c_succ': 1, 'pressure_events': 10, 'turnovers': 1}}}","{'zone_time': {'oz': 96.25000000001978, 'nz': 13.033333333320229, 'dz': 64.61666666665991}, 'possession_time': 98.88333333335021, 'entries': {'controlled_attempts': 1, 'controlled_success': 1, 'dump_attempts': 4}, 'exits': {'controlled_attempts': 5, 'controlled_success': 5, 'dump_attempts': 1}, 'shots': {'on': 4, 'missed': 2, 'blocked': 1, 'total': 11}, 'passes': 20, 'lpr_recoveries': 11, 'pressure_events': 2, 'turnovers': 5}","{'zone_time': {'oz': 64.61666666665991, 'nz': 13.033333333320229, 'dz': 96.25000000001978}, 'possession_time': 73.09999999998973, 'entries': {'controlled_attempts': 3, 'controlled_success': 2, 'dump_attempts': 3}, 'exits': {'controlled_attempts': 1, 'controlled_success': 1, 'dump_attempts': 1}, 'shots': {'on': 1, 'missed': 0, 'blocked': 0, 'total': 10}, 'passes': 13, 'lpr_recoveries': 4, 'pressure_events': 12, 'turnovers': 3}",2,21,5,2,1,33,5,7,6,2,15,14,8,,oz,5v5,dz,oz,2.0,17.0
6,5.0,705,760,55,57.38333333334003,1,1,659.03333333333,716.41666666667,659.03333333333,716.41666666667,"['dz', 'oz', 'nz']","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': None, 'away_skaters': None, 'strength': None, 'period': 1, 'time_remaining_period': 540.96666666667, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 10, 'entries_c_att': 1, 'entries_c_succ': 1, 'pressure_events': 0, 'turnovers': 1}, 'away': {'goals': 0, 'shot_attempts': 8, 'entries_c_att': 1, 'entries_c_succ': 1, 'pressure_events': 10, 'turnovers': 1}}}","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': 5, 'away_skaters': 5, 'strength': '5v5', 'period': 1, 'time_remaining_period': 483.58333333332996, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 1, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 2, 'turnovers': 1}, 'away': {'goals': 0, 'shot_attempts': 1, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 0, 'turnovers': 3}}}","{'zone_time': {'oz': 37.25, 'nz': 10.966666666679998, 'dz': 9.166666666660035}, 'possession_time': 17.63333333333003, 'entries': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 4}, 'exits': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 0}, 'shots': {'on': 0, 'missed': 0, 'blocked': 0, 'total': 1}, 'passes': 2, 'lpr_recoveries': 2, 'pressure_events': 2, 'turnovers': 1}","{'zone_time': {'oz': 9.166666666660035, 'nz': 10.966666666679998, 'dz': 37.25}, 'possession_time': 39.65000000000998, 'entries': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 4}, 'exits': {'controlled_attempts': 1, 'controlled_success': 1, 'dump_attempts': 0}, 'shots': {'on': 0, 'missed': 0, 'blocked': 0, 'total': 0}, 'passes': 11, 'lpr_recoveries': 4, 'pressure_events': 0, 'turnovers': 3}",2,1,0,0,0,13,0,8,1,0,6,2,4,,oz,5v5,oz,dz,2.0,17.0
7,6.0,760,775,15,11.399999999999977,1,1,718.06666666667,729.46666666667,718.06666666667,729.46666666667,"['dz', 'oz', 'nz']","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': None, 'away_skaters': None, 'strength': None, 'period': 1, 'time_remaining_period': 481.93333333333, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 1, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 2, 'turnovers': 1}, 'away': {'goals': 0, 'shot_attempts': 1, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 0, 'turnovers': 3}}}","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': 5, 'away_skaters': 5, 'strength': '5v5', 'period': 1, 'time_remaining_period': 470.53333333333, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 1, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 1, 'turnovers': 1}, 'away': {'goals': 0, 'shot_attempts': 1, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 0, 'turnovers': 2}}}","{'zone_time': {'oz': 2.733333333340056, 'nz': 4.883333333329915, 'dz': 3.783333333330006}, 'possession_time': 5.5, 'entries': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 1}, 'exits': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 1}, 'shots': {'on': 0, 'missed': 0, 'blocked': 0, 'total': 0}, 'passes': 1, 'lpr_recoveries': 1, 'pressure_events': 0, 'turnovers': 0}","{'zone_time': {'oz': 3.783333333330006, 'nz': 4.883333333329915, 'dz': 2.733333333340056}, 'possession_time': 2.6333333333400333, 'entries': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 1}, 'exits': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 0}, 'shots': {'on': 0, 'missed': 0, 'blocked': 0, 'total': 0}, 'passes': 1, 'lpr_recoveries': 1, 'pressure_events': 0, 'turnovers': 0}",2,0,0,0,0,2,0,2,0,1,2,0,0,,dz,5v5,dz,oz,2.0,17.0
8,7.0,775,805,30,26.016666666660058,1,1,733.46666666667,759.48333333333,733.46666666667,759.48333333333,"['oz', 'dz', 'nz']","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': None, 'away_skaters': None, 'strength': None, 'period': 1, 'time_remaining_period': 466.53333333333, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 1, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 1, 'turnovers': 1}, 'away': {'goals': 0, 'shot_attempts': 1, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 0, 'turnovers': 2}}}","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': 5, 'away_skaters': 5, 'strength': '5v5', 'period': 1, 'time_remaining_period': 440.51666666666995, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 3, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 3, 'turnovers': 1}, 'away': {'goals': 0, 'shot_attempts': 3, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 0, 'turnovers': 2}}}","{'zone_time': {'oz': 7.266666666660058, 'nz': 4.0499999999999545, 'dz': 14.700000000000045}, 'possession_time': 4.316666666669903, 'entries': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 1}, 'exits': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 0}, 'shots': {'on': 0, 'missed': 0, 'blocked': 0, 'total': 2}, 'passes': 2, 'lpr_recoveries': 0, 'pressure_events': 2, 'turnovers': 1}","{'zone_time': {'oz': 14.700000000000045, 'nz': 4.0499999999999545, 'dz': 7.266666666660058}, 'possession_time': 21.216666666660103, 'entries': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 1}, 'exits': {'controlled_attempts': 1, 'controlled_success': 1, 'dump_attempts': 0}, 'shots': {'on': 1, 'missed': 0, 'blocked': 0, 'total': 1}, 'passes': 4, 'lpr_recoveries': 2, 'pressure_events': 0, 'turnovers': 1}",2,3,1,0,0,6,0,2,1,0,2,2,2,,oz,5v5,oz,dz,2.0,17.0
9,8.0,805,858,53,47.200000000000045,1,1,762.05,809.25,762.05,809.25,"['oz', 'dz', 'nz']","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': None, 'away_skaters': None, 'strength': None, 'period': 1, 'time_remaining_period': 437.95000000000005, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 3, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 3, 'turnovers': 1}, 'away': {'goals': 0, 'shot_attempts': 3, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 0, 'turnovers': 2}}}","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': 5, 'away_skaters': 5, 'strength': '5v5', 'period': 1, 'time_remaining_period': 390.75, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 5, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 5, 'turnovers': 1}, 'away': {'goals': 0, 'shot_attempts': 4, 'entries_c_att': 1, 'entries_c_succ': 0, 'pressure_events': 0, 'turnovers': 3}}}","{'zone_time': {'oz': 6.5, 'nz': 0.9666666666601031, 'dz': 39.73333333333994}, 'possession_time': 9.41666666667993, 'entries': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 0}, 'exits': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 1}, 'shots': {'on': 0, 'missed': 0, 'blocked': 0, 'total': 3}, 'passes': 1, 'lpr_recoveries': 3, 'pressure_events': 3, 'turnovers': 1}","{'zone_time': {'oz': 39.73333333333994, 'nz': 0.9666666666601031, 'dz': 6.5}, 'possession_time': 37.76666666665005, 'entries': {'controlled_attempts': 1, 'controlled_success': 0, 'dump_attempts': 4}, 'exits': {'controlled_attempts': 1, 'controlled_success': 1, 'dump_attempts': 0}, 'shots': {'on': 1, 'missed': 1, 'blocked': 1, 'total': 3}, 'passes': 12, 'lpr_recoveries': 3, 'pressure_events': 0, 'turnovers': 2}",2,6,1,1,1,13,1,4,1,1,6,3,3,,dz,5v5,dz,oz,2.0,17.0
10,9.0,858,958,100,85.41666666667004,1,1,812.03333333333,897.45,812.03333333333,897.45,"['dz', 'oz', 'nz']","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': None, 'away_skaters': None, 'strength': None, 'period': 1, 'time_remaining_period': 387.96666666667, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 5, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 5, 'turnovers': 1}, 'away': {'goals': 0, 'shot_attempts': 4, 'entries_c_att': 1, 'entries_c_succ': 0, 'pressure_events': 0, 'turnovers': 3}}}","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': 5, 'away_skaters': 5, 'strength': '5v5', 'period': 1, 'time_remaining_period': 302.54999999999995, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 5, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 4, 'turnovers': 1}, 'away': {'goals': 0, 'shot_attempts': 5, 'entries_c_att': 1, 'entries_c_succ': 1, 'pressure_events': 1, 'turnovers': 1}}}","{'zone_time': {'oz': 20.483333333329938, 'nz': 12.516666666670062, 'dz': 52.41666666667004}, 'possession_time': 38.750000000000114, 'entries': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 1}, 'exits': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 0}, 'shots': {'on': 0, 'missed': 0, 'blocked': 1, 'total': 5}, 'passes': 14, 'lpr_recoveries': 3, 'pressure_events': 4, 'turnovers': 5}","{'zone_time': {'oz': 52.41666666667004, 'nz': 12.516666666670062, 'dz': 20.483333333329938}, 'possession_time': 46.64999999999998, 'entries': {'controlled_attempts': 1, 'controlled_success': 1, 'dump_attempts': 3}, 'exits': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 1}, 'shots': {'on': 0, 'missed': 1, 'blocked': 1, 'total': 4}, 'passes': 13, 'lpr_recoveries': 5, 'pressure_events': 3, 'turnovers': 1}",2,9,0,1,2,27,1,4,0,1,8,7,6,,oz,5v5,dz,oz,2.0,17.0
11,10.0,958,980,22,18.100000000000023,1,1,900.06666666667,918.16666666667,900.06666666667,918.16666666667,"['oz', 'dz']","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': None, 'away_skaters': None, 'strength': None, 'period': 1, 'time_remaining_period': 299.93333333333, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 5, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 4, 'turnovers': 1}, 'away': {'goals': 0, 'shot_attempts': 5, 'entries_c_att': 1, 'entries_c_succ': 1, 'pressure_events': 1, 'turnovers': 1}}}","{'home_score': 0, 'away_score': 0, 'score_diff': 0, 'home_skaters': 5, 'away_skaters': 5, 'strength': '5v5', 'period': 1, 'time_remaining_period': 281.83333333332996, 'period_type': 'REG', 'microtrend_60': {'home': {'goals': 0, 'shot_attempts': 5, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 4, 'turnovers': 0}, 'away': {'goals': 0, 'shot_attempts': 5, 'entries_c_att': 0, 'entries_c_succ': 0, 'pressure_events': 1, 'turnovers': 1}}}","{'zone_time': {'oz': 3.4500000000000455, 'nz': 0.0, 'dz': 14.649999999999977}, 'possession_time': 8.833333333339965, 'entries': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 0}, 'exits': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 1}, 'shots': {'on': 0, 'missed': 0, 'blocked': 0, 'total': 0}, 'passes': 0, 'lpr_recoveries': 1, 'pressure_events': 0, 'turnovers': 0}","{'zone_time': {'oz': 14.649999999999977, 'nz': 0.0, 'dz': 3.4500000000000455}, 'possession_time': 9.250000000000114, 'entries': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 2}, 'exits': {'controlled_attempts': 0, 'controlled_success': 0, 'dump_attempts': 0}, 'shots': {'on': 0, 'missed': 0, 'blocked': 0, 'total': 0}, 'passes': 5, 'lpr_recoveries': 1, 'pressure_events': 0, 'turnovers': 1}",2,0,0,0,0,5,0,2,0,1,2,0,1,,dz,5v5,dz,oz,2.0,17.0
